City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
529,Dikson,RU,73.5069,80.5464,-8.57,100,93,4.65,overcast clouds
530,Mulhouse,FR,47.6667,7.4167,51.8,95,100,6.91,fog
531,Humberto De Campos,BR,-2.5983,-43.4611,86.5,60,97,8.46,overcast clouds
532,Kodiak,US,57.79,-152.4072,44.11,76,100,13.8,overcast clouds
533,Rikitea,PF,-23.1203,-134.9692,73.69,85,100,17.02,overcast clouds
534,Punta Arenas,CL,-53.15,-70.9167,59.02,62,20,10.36,few clouds
535,Abonnema,NG,4.7084,6.7931,80.89,73,89,7.52,moderate rain
536,Agadir,MA,30.4202,-9.5982,91.85,25,94,5.01,overcast clouds
537,Jamestown,US,42.097,-79.2353,44.19,80,100,10.36,overcast clouds
538,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
539,Port Elizabeth,ZA,-33.918,25.5701,70.11,94,40,17.27,scattered clouds
540,Torbay,CA,47.6666,-52.7314,38.5,94,100,17.27,light rain
541,Montemor-O-Novo,PT,38.6481,-8.2145,69.21,45,92,3.4,overcast clouds
542,Tungor,RU,53.3808,142.9564,23.83,73,100,9.42,overcast clouds
543,Paoua,CF,7.2427,16.4406,83.64,45,78,3.51,broken clouds
544,Hambantota,LK,6.1241,81.1185,77.65,85,91,6.64,overcast clouds
545,Cayenne,GF,4.9333,-52.3333,78.84,89,75,2.3,broken clouds
546,Mashhad,IR,36.297,59.6062,46.54,76,75,0.0,light rain
547,Cabo San Lucas,MX,22.8909,-109.9124,77.31,60,20,0.0,few clouds
548,Kapaa,US,22.0752,-159.319,75.18,76,40,20.71,light rain
549,Busselton,AU,-33.65,115.3333,51.08,88,55,8.79,broken clouds
550,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,20,3.44,few clouds
551,Vaini,TO,-21.2,-175.2,73.56,100,20,3.44,few clouds
552,Albany,US,42.6001,-73.9662,61.05,79,100,3.0,overcast clouds
553,Narsaq,GL,60.9167,-46.05,37.62,77,28,6.91,scattered clouds
554,Port Alfred,ZA,-33.5906,26.891,65.17,94,96,1.99,moderate rain
555,Hilo,US,19.7297,-155.09,68.25,83,0,3.44,clear sky
556,Mabaruma,GY,8.2,-59.7833,83.93,82,66,4.36,broken clouds
557,Nago,JP,26.5881,127.9761,77.85,90,4,11.86,clear sky
